Currency,Date,Open,High,Low,Close,Volume,Market Cap
tezos,2019-12-04,1.29,1.32,1.25,1.25,46048752,824588509
tezos,2019-12-03,1.24,1.32,1.21,1.29,41462224,853213342
tezos,2019-12-02,1.25,1.26,1.20,1.24,27574097,817872179
tezos,2019-12-01,1.33,1.34,1.25,1.25,24127567,828296390
tezos,2019-11-30,1.31,1.37,1.31,1.33,28706667,879181680
tezos,2019-11-29,1.28,1.34,1.28,1.31,32270224,867085098
tezos,2019-11-28,1.26,1.35,1.22,1.28,44240281,845073679
tezos,2019-11-27,1.24,1.27,1.16,1.26,47723271,829672736
tezos,2019-11-26,1.24,1.28,1.23,1.24,54828808,822065277
tezos,2019-11-25,1.33,1.33,1.21,1.24,64954006,815688075
tezos,2019-11-24,1.40,1.42,1.31,1.34,49206070,887731654
tezos,2019-11-23,1.22,1.42,1.22,1.39,123832790,920735790
tezos,2019-11-22,1.21,1.28,1.08,1.22,69312275,804427044
tezos,2019-11-21,1.21,1.29,1.18,1.21,53020027,800257863
tezos,2019-11-20,1.22,1.25,1.17,1.21,33605071,801174969
tezos,2019-11-19,1.23,1.25,1.15,1.22,35796763,805231584
tezos,2019-11-18,1.16,1.26,1.16,1.23,37602915,813744878
tezos,2019-11-17,1.16,1.18,1.15,1.16,22483167,767707353
tezos,2019-11-16,1.17,1.18,1.16,1.16,26689028,768303560
tezos,2019-11-15,1.22,1.26,1.15,1.17,32203363,773992543
tezos,2019-11-14,1.13,1.30,1.11,1.22,41978349,808582829
tezos,2019-11-13,1.17,1.17,1.12,1.13,23410839,746750215
tezos,2019-11-12,1.18,1.20,1.15,1.17,23591140,771905281
tezos,2019-11-11,1.23,1.24,1.17,1.18,25012739,776358941
tezos,2019-11-10,1.25,1.25,1.19,1.23,31134799,812505004
tezos,2019-11-09,1.17,1.26,1.15,1.24,34760712,819630519
tezos,2019-11-08,1.22,1.28,1.12,1.17,44195683,770094896
tezos,2019-11-07,1.02,1.44,1.02,1.22,92805360,805246128
tezos,2019-11-06,0.93,1.05,0.90,1.02,26095931,673756212
tezos,2019-11-05,0.89,0.93,0.88,0.93,13420498,612256490
tezos,2019-11-04,0.87,0.91,0.86,0.89,16511023,588922638
tezos,2019-11-03,0.87,0.87,0.85,0.87,11444717,573784519
tezos,2019-11-02,0.88,0.89,0.86,0.87,9944483,571571532
tezos,2019-11-01,0.89,0.89,0.86,0.88,12684201,579768933
tezos,2019-10-31,0.91,0.92,0.87,0.89,13120625,588070905
tezos,2019-10-30,0.88,0.97,0.77,0.91,23084998,603633344
tezos,2019-10-29,0.87,0.92,0.83,0.88,19713852,580397277
tezos,2019-10-28,0.88,0.93,0.77,0.88,24337121,578034790
tezos,2019-10-27,0.84,0.89,0.69,0.88,23186370,577928349
tezos,2019-10-26,0.83,0.93,0.82,0.83,20293463,549426804
tezos,2019-10-25,0.77,0.84,0.76,0.83,16862309,551251771
tezos,2019-10-24,0.76,0.78,0.75,0.77,14425427,507327662
tezos,2019-10-23,0.84,0.84,0.76,0.76,14131553,502752829
tezos,2019-10-22,0.87,0.88,0.83,0.84,11567380,553772790
tezos,2019-10-21,0.88,0.89,0.87,0.87,11434852,575470528
tezos,2019-10-20,0.87,0.88,0.86,0.88,9297806,579437174
tezos,2019-10-19,0.88,0.89,0.86,0.87,10127092,571399102
tezos,2019-10-18,0.90,0.90,0.87,0.88,10666948,579673087
tezos,2019-10-17,0.88,0.90,0.87,0.90,11185558,591591209
tezos,2019-10-16,0.91,0.91,0.86,0.88,12766002,579126752
tezos,2019-10-15,0.94,0.96,0.90,0.91,17300340,599208238
tezos,2019-10-14,0.90,0.94,0.90,0.94,16242661,621587341
tezos,2019-10-13,0.89,0.97,0.89,0.90,19773441,596776442
tezos,2019-10-12,0.91,0.92,0.85,0.89,19332567,589779872
tezos,2019-10-11,0.91,0.92,0.89,0.91,18114188,603658112
tezos,2019-10-10,0.94,0.94,0.91,0.92,24538307,604264912
tezos,2019-10-09,0.90,0.96,0.89,0.94,16465901,622683648
tezos,2019-10-08,0.91,0.92,0.90,0.90,18299070,594140600
tezos,2019-10-07,0.88,0.92,0.87,0.91,16375621,598751227
tezos,2019-10-06,0.91,0.91,0.87,0.88,12691818,579113086
tezos,2019-10-05,0.92,0.92,0.90,0.91,13070972,602614044
tezos,2019-10-04,0.93,0.94,0.90,0.92,14953450,609706365
tezos,2019-10-03,0.94,0.97,0.92,0.94,11184781,617617831
tezos,2019-10-02,0.95,0.95,0.89,0.94,17174252,622836475
tezos,2019-10-01,0.90,1.00,0.90,0.95,13349266,629756396
tezos,2019-09-30,0.89,0.92,0.85,0.90,15800572,596669068
tezos,2019-09-29,0.89,0.92,0.87,0.89,11871749,586346796
tezos,2019-09-28,0.90,0.92,0.87,0.89,9062006,590158131
tezos,2019-09-27,0.85,0.90,0.82,0.90,17459138,591304774
tezos,2019-09-26,0.85,0.91,0.82,0.85,12848761,562210845
tezos,2019-09-25,0.89,0.91,0.82,0.85,24468658,564604498
tezos,2019-09-24,1.05,1.09,0.85,0.89,25188778,589473410
tezos,2019-09-23,1.05,1.14,1.02,1.05,18341225,696104355
tezos,2019-09-22,1.07,1.08,1.05,1.06,8594941,696868198
tezos,2019-09-21,1.06,1.08,1.06,1.07,13990523,708171839
tezos,2019-09-20,1.10,1.11,1.05,1.06,14160437,701240151
tezos,2019-09-19,1.09,1.12,1.03,1.10,12359739,727542370
tezos,2019-09-18,1.09,1.15,1.09,1.09,11962787,720294110
tezos,2019-09-17,1.00,1.10,1.00,1.10,10580481,723533677
tezos,2019-09-16,1.00,1.01,0.99,1.00,7211469,662162197
tezos,2019-09-15,1.00,1.02,0.99,1.00,9925484,662384863
tezos,2019-09-14,0.98,1.01,0.96,1.00,8114227,661750058
tezos,2019-09-13,1.01,1.02,0.96,0.98,9376392,644225711
tezos,2019-09-12,1.01,1.02,0.99,1.01,9235470,666508432
tezos,2019-09-11,1.02,1.03,0.99,1.01,8953230,664542321
tezos,2019-09-10,1.04,1.04,1.02,1.02,9247187,675748704
tezos,2019-09-09,1.06,1.11,1.03,1.04,11308139,687583237
tezos,2019-09-08,1.03,1.08,1.02,1.07,10251627,703564280
tezos,2019-09-07,1.00,1.04,0.98,1.03,13451858,679683395
tezos,2019-09-06,1.01,1.03,0.99,1.00,11010600,660508589
tezos,2019-09-05,1.03,1.04,1.00,1.01,9221482,669826900
tezos,2019-09-04,1.04,1.04,1.02,1.03,8758988,682146976
tezos,2019-09-03,1.06,1.07,1.03,1.04,11137913,688841250
tezos,2019-09-02,1.03,1.08,1.03,1.06,9758386,697810467
tezos,2019-09-01,1.05,1.06,1.01,1.03,8250825,681637980
tezos,2019-08-31,1.07,1.08,1.01,1.04,10847063,687684125
tezos,2019-08-30,1.00,1.07,0.99,1.06,10015534,703253249
tezos,2019-08-29,1.05,1.07,1.00,1.00,14710732,659166382
tezos,2019-08-28,1.13,1.13,1.04,1.05,9878622,693879132
tezos,2019-08-27,1.16,1.17,1.12,1.13,8137996,745097752
tezos,2019-08-26,1.14,1.18,1.13,1.16,8943795,765358762
tezos,2019-08-25,1.15,1.16,1.13,1.14,7996369,754098350
tezos,2019-08-24,1.17,1.18,1.12,1.15,9414392,758721110
tezos,2019-08-23,1.14,1.20,1.13,1.17,9906828,772431594
tezos,2019-08-22,1.12,1.15,1.10,1.14,8824747,752276973
tezos,2019-08-21,1.16,1.16,1.10,1.12,11809364,738442909
tezos,2019-08-20,1.21,1.22,1.16,1.16,6759399,766459768
tezos,2019-08-19,1.20,1.24,1.20,1.21,7024532,801513726
tezos,2019-08-18,1.19,1.24,1.18,1.20,5300851,794345202
tezos,2019-08-17,1.22,1.22,1.17,1.19,4859686,787218715
tezos,2019-08-16,1.22,1.23,1.14,1.22,8512652,805043456
tezos,2019-08-15,1.16,1.25,1.05,1.22,13913968,807752353
tezos,2019-08-14,1.26,1.28,1.15,1.16,10844927,769123801
tezos,2019-08-13,1.36,1.37,1.26,1.26,10432675,829436539
tezos,2019-08-12,1.38,1.39,1.36,1.36,8575614,899603980
tezos,2019-08-11,1.39,1.41,1.37,1.38,8402166,908558771
tezos,2019-08-10,1.43,1.44,1.36,1.39,11888934,919898719
tezos,2019-08-09,1.55,1.56,1.37,1.43,23985476,946513275
tezos,2019-08-08,1.35,1.73,1.34,1.55,36246315,1023902326
tezos,2019-08-07,1.47,1.48,1.35,1.35,11480552,892389418
tezos,2019-08-06,1.46,1.60,1.37,1.47,19160485,971497468
tezos,2019-08-05,1.44,1.50,1.35,1.46,12705167,964815639
tezos,2019-08-04,1.43,1.49,1.40,1.44,9783266,948979104
tezos,2019-08-03,1.43,1.46,1.38,1.43,9722877,942911870
